billede,rolle,recto_verso,bredde_px,snit_x,snit_andel_af_bredde,styrke,soegevindue
273098_001472,andenside,verso,1667,1432,0.859,0.3226,1167-1667 (fra_hoejre)
273098_001473,tredjeside,recto,1650,419,0.254,0.3224,0-495 (fra_venstre)
273098_001496,andenside,verso,1630,1242,0.762,0.3194,1141-1630 (fra_hoejre)
273098_001497,tredjeside,recto,1580,254,0.161,0.3113,0-474 (fra_venstre)
273098_001508,andenside,verso,1628,1260,0.774,0.314,1140-1628 (fra_hoejre)
273098_001509,tredjeside,recto,1596,263,0.165,0.3506,0-478 (fra_venstre)
273099_001360,andenside,verso,1600,1358,0.849,0.3524,1120-1600 (fra_hoejre)
273099_001361,tredjeside,recto,1756,395,0.225,0.3005,0-526 (fra_venstre)
