gruppe,billede,bredde,baand,spaend,max_spring,afvigelse,dom
proeve_LAAST,273098_001473,1650,24/24,11,5,6,god
proeve_LAAST,273100_001282,1522,24/24,24,5,6,god
proeve_LAAST,273101_001099,1743,24/24,28,4,6,god
proeve_LAAST,273104_001561,1675,24/24,17,7,6,god
proeve_LAAST,273104_001565,1666,24/24,27,4,6,god
proeve_LAAST,273104_001651,1649,24/24,9,5,6,god
proeve_LAAST,273112_001202,1916,24/24,11,6,6,god
proeve_LAAST,273112_001204,1919,24/24,12,4,6,god
oeve,273098_001496,1630,24/24,25,5,5,god
oeve,273098_001498,1627,24/24,38,5,5,god
oeve,273098_001499,1583,24/24,16,5,5,god
oeve,273098_001500,1631,24/24,15,4,5,god
oeve,273098_001501,1585,24/24,12,5,5,god
oeve,273098_001503,1590,24/24,13,6,5,god
oeve,273098_001504,1625,24/24,10,5,5,god
oeve,273098_001509,1596,24/24,11,4,5,god
oeve,273098_001514,1632,24/24,9,6,5,god
oeve,273099_001446,1503,24/24,9,3,5,god
oeve,273100_001264,1436,24/24,10,5,5,god
oeve,273100_001265,1819,24/24,11,6,5,god
oeve,273100_001267,1822,24/24,14,4,5,god
oeve,273100_001272,1572,24/24,18,6,5,god
oeve,273100_001273,1712,24/24,18,5,5,god
oeve,273100_001275,1716,24/24,7,5,5,god
oeve,273100_001295,1684,24/24,16,4,5,god
oeve,273100_001298,1598,24/24,12,4,5,god
oeve,273100_001303,1679,24/24,23,4,5,god
oeve,273100_001308,1578,24/24,12,5,5,god
oeve,273100_001309,1688,24/24,20,3,5,god
oeve,273101_001164,1736,24/24,9,5,5,god
oeve,273101_001165,1661,24/24,45,4,5,god
oeve,273102_001067,1889,24/24,10,5,5,god
oeve,273102_001069,1891,24/24,9,3,5,god
oeve,273103_001460,1481,24/24,52,5,5,god
oeve,273103_001468,1467,24/24,40,4,5,god
oeve,273105_001570,1701,24/24,10,5,5,god
oeve,273105_001571,1744,24/24,16,6,5,god
oeve,273105_001644,1706,24/24,10,7,5,god
oeve,273105_001711,1598,24/24,32,5,5,god
oeve,273106_001694,1978,24/24,18,4,5,god
oeve,273107_001863,1542,24/24,12,3,5,god
oeve,273108_001558,1844,24/24,20,4,5,god
oeve,273110_001531,1647,24/24,24,4,5,god
oeve,273111_001372,1626,24/24,21,5,5,god
oeve,273111_001375,1953,24/24,17,4,5,god
oeve,37554_001496,1913,24/24,15,4,5,god
ekstra_uden_facit,273035_000244,1777,24/24,19,7,5,god
ekstra_uden_facit,273036_001330,1864,24/24,70,4,5,god
ekstra_uden_facit,273046_001269,1646,24/24,12,4,5,god
ekstra_uden_facit,273084_001224,1633,24/24,19,3,5,god
ekstra_uden_facit,273096_001232,1723,24/24,15,8,5,god
proeve_LAAST,273099_001360,1600,24/24,15,4,5,god
proeve_LAAST,273100_001279,1726,24/24,28,4,5,god
proeve_LAAST,273101_001102,1649,24/24,27,4,5,god
proeve_LAAST,273101_001103,1736,24/24,15,4,5,god
proeve_LAAST,273101_001106,1657,24/24,18,4,5,god
proeve_LAAST,273104_001559,1675,24/24,14,6,5,god
proeve_LAAST,273104_001562,1798,24/24,10,5,5,god
proeve_LAAST,273105_001631,1733,24/24,11,6,5,god
proeve_LAAST,273106_001620,1986,24/24,20,6,5,god
proeve_LAAST,273106_001621,1823,24/24,20,4,5,god
proeve_LAAST,273106_001622,1986,24/24,24,5,5,god
proeve_LAAST,273107_001883,1506,24/24,9,7,5,god
proeve_LAAST,273108_001605,1651,24/24,20,4,5,god
proeve_LAAST,273112_001201,1701,24/24,14,5,5,god
oeve,273098_001502,1621,24/24,10,4,4,god
oeve,273098_001505,1593,24/24,9,5,4,god
oeve,273099_001444,1507,24/24,19,5,4,god
oeve,273100_001258,1433,24/24,17,6,4,god
oeve,273100_001259,1813,24/24,25,4,4,god
oeve,273100_001261,1816,24/24,9,6,4,god
oeve,273100_001262,1449,24/24,15,3,4,god
oeve,273100_001266,1440,24/24,10,3,4,god
oeve,273100_001268,1623,24/24,13,5,4,god
oeve,273100_001271,1708,24/24,16,4,4,god
oeve,273100_001276,1561,24/24,7,5,4,god
oeve,273100_001299,1681,24/24,27,4,4,god
oeve,273100_001302,1591,24/24,10,4,4,god
oeve,273100_001304,1585,24/24,9,3,4,god
oeve,273100_001305,1687,24/24,13,5,4,god
oeve,273100_001306,1583,24/24,21,3,4,god
oeve,273101_001167,1661,24/24,10,4,4,god
oeve,273101_001169,1659,24/24,31,3,4,god
oeve,273102_001065,1891,24/24,11,6,4,god
oeve,273103_001439,1795,24/24,12,4,4,god
oeve,273103_001442,1513,24/24,39,4,4,god
oeve,273103_001461,1721,24/24,32,4,4,god
oeve,273103_001463,1710,24/24,41,5,4,god
oeve,273104_001633,1617,24/24,32,5,4,god
oeve,273104_001635,1617,24/24,15,4,4,god
oeve,273105_001552,1703,24/24,26,5,4,god
oeve,273105_001569,1741,24/24,29,5,4,god
oeve,273105_001573,1744,24/24,28,4,4,god
oeve,273105_001707,1614,24/24,27,3,4,god
oeve,273105_001712,1809,24/24,18,4,4,god
oeve,273105_001714,1796,24/24,21,4,4,god
oeve,273107_001869,1529,24/24,32,4,4,god
oeve,273108_001559,1707,24/24,16,4,4,god
oeve,273110_001525,1647,24/24,9,5,4,god
oeve,273110_001527,1649,24/24,30,7,4,god
oeve,273110_001528,1878,24/24,22,4,4,god
oeve,273111_001374,1624,24/24,11,4,4,god
oeve,273111_001377,1961,24/24,9,3,4,god
oeve,273111_001378,1623,24/24,9,4,4,god
oeve,273111_001381,1856,9/24,24,23,4,god
oeve,37554_001414,1902,24/24,15,6,4,god
oeve,37554_001491,1807,24/24,11,3,4,god
oeve,37554_001495,1800,24/24,7,4,4,god
ekstra_uden_facit,273012_000882,1952,24/24,21,5,4,god
ekstra_uden_facit,273017_000200,1732,24/24,9,6,4,god
ekstra_uden_facit,273023_000884,2084,24/24,8,7,4,god
ekstra_uden_facit,273024_000262,1775,24/24,12,5,4,god
ekstra_uden_facit,273025_001784,1878,24/24,6,3,4,god
ekstra_uden_facit,273037_000562,2287,24/24,38,5,4,god
ekstra_uden_facit,273045_000840,1660,24/24,13,6,4,god
ekstra_uden_facit,273057_001382,1880,24/24,29,7,4,god
ekstra_uden_facit,273106_001345,1963,24/24,13,6,4,god
proeve_LAAST,273098_001474,1663,24/24,17,5,4,god
proeve_LAAST,273099_001361,1756,24/24,8,5,4,god
proeve_LAAST,273099_001362,1594,24/24,9,4,4,god
proeve_LAAST,273099_001363,1762,24/24,15,5,4,god
proeve_LAAST,273099_001365,1761,24/24,5,4,4,god
proeve_LAAST,273100_001278,1558,24/24,22,4,4,god
proeve_LAAST,273100_001280,1531,24/24,15,7,4,god
proeve_LAAST,273100_001281,1742,24/24,10,5,4,god
proeve_LAAST,273100_001284,1513,24/24,21,4,4,god
proeve_LAAST,273101_001100,1654,24/24,13,4,4,god
proeve_LAAST,273101_001104,1649,24/24,17,4,4,god
proeve_LAAST,273104_001563,1666,24/24,22,4,4,god
proeve_LAAST,273104_001564,1802,24/24,10,6,4,god
proeve_LAAST,273105_001628,1756,24/24,9,5,4,god
proeve_LAAST,273105_001633,1734,24/24,17,4,4,god
proeve_LAAST,273106_001618,1993,24/24,7,3,4,god
proeve_LAAST,273107_001884,2004,24/24,13,5,4,god
proeve_LAAST,273107_001886,1991,24/24,41,4,4,god
proeve_LAAST,273107_001887,1515,24/24,14,5,4,god
proeve_LAAST,273107_001888,1991,24/24,8,3,4,god
proeve_LAAST,273108_001598,1857,24/24,6,5,4,god
proeve_LAAST,273108_001600,1859,24/24,15,4,4,god
proeve_LAAST,273108_001602,1860,24/24,10,5,4,god
proeve_LAAST,273111_001366,1628,24/24,14,4,4,god
proeve_LAAST,273112_001203,1701,24/24,8,8,4,god
proeve_LAAST,273112_001205,1700,24/24,12,4,4,god
oeve,273098_001497,1580,24/24,30,5,3,god
oeve,273098_001508,1628,24/24,19,4,3,god
oeve,273098_001510,1631,24/24,9,5,3,god
oeve,273098_001511,1600,24/24,21,6,3,god
oeve,273098_001513,1600,24/24,6,4,3,god
oeve,273100_001263,1814,24/24,11,4,3,god
oeve,273100_001269,1666,24/24,25,5,3,god
oeve,273100_001294,1605,24/24,10,3,3,god
oeve,273100_001300,1592,24/24,28,5,3,god
oeve,273101_001163,1457,24/24,9,4,3,god
oeve,273103_001438,1515,24/24,11,4,3,god
oeve,273103_001440,1515,24/24,31,5,3,god
oeve,273105_001553,1737,24/24,49,4,3,god
oeve,273105_001708,1817,24/24,28,4,3,god
oeve,273105_001715,1594,24/24,53,5,3,god
oeve,273105_001717,1745,24/24,28,5,3,god
oeve,273106_001693,1756,24/24,15,5,3,god
oeve,273107_001866,1986,24/24,10,4,3,god
oeve,273107_001868,1990,24/24,10,2,3,god
oeve,273108_001537,1724,24/24,7,4,3,god
oeve,273108_001554,1843,24/24,12,2,3,god
oeve,273108_001555,1708,24/24,17,2,3,god
oeve,273108_001556,1843,24/24,13,3,3,god
oeve,273110_001526,1889,24/24,7,4,3,god
oeve,273110_001529,1646,24/24,8,4,3,god
oeve,273111_001370,1626,24/24,14,3,3,god
oeve,37554_001413,1857,24/24,40,5,3,god
oeve,37554_001415,1858,24/24,28,5,3,god
oeve,37554_001492,1912,24/24,12,3,3,god
oeve,37554_001493,1803,24/24,6,5,3,god
oeve,37554_001494,1914,24/24,6,3,3,god
oeve,37554_001499,1793,24/24,27,3,3,god
ekstra_uden_facit,273014_000780,1638,24/24,9,3,3,god
ekstra_uden_facit,273015_000616,1826,24/24,31,6,3,god
ekstra_uden_facit,273034_000808,2127,24/24,9,3,3,god
ekstra_uden_facit,273086_001346,1684,24/24,26,3,3,god
ekstra_uden_facit,273098_000446,1815,24/24,10,4,3,god
proeve_LAAST,273098_001472,1667,24/24,18,5,3,god
proeve_LAAST,273099_001364,1594,24/24,5,4,3,god
proeve_LAAST,273099_001366,1596,24/24,11,3,3,god
proeve_LAAST,273101_001101,1737,24/24,12,4,3,god
proeve_LAAST,273101_001107,1737,24/24,6,3,3,god
proeve_LAAST,273101_001108,1652,24/24,22,5,3,god
proeve_LAAST,273101_001109,1735,24/24,19,5,3,god
proeve_LAAST,273105_001629,1707,24/24,7,3,3,god
proeve_LAAST,273105_001630,1732,24/24,9,5,3,god
proeve_LAAST,273105_001632,1726,24/24,18,3,3,god
proeve_LAAST,273105_001634,1722,24/24,36,4,3,god
proeve_LAAST,273106_001617,1814,24/24,8,4,3,god
proeve_LAAST,273106_001619,1823,24/24,24,4,3,god
proeve_LAAST,273106_001623,1824,24/24,24,4,3,god
proeve_LAAST,273107_001889,1514,24/24,13,3,3,god
proeve_LAAST,273108_001597,1653,24/24,6,3,3,god
proeve_LAAST,273108_001599,1657,24/24,16,4,3,god
proeve_LAAST,273108_001606,1846,24/24,22,4,3,god
proeve_LAAST,273112_001207,1696,24/24,8,3,3,god
oeve,273100_001270,1579,24/24,4,3,2,god
oeve,273100_001274,1570,24/24,8,2,2,god
oeve,273103_001464,1471,24/24,53,4,2,god
oeve,273104_001634,1802,24/24,11,3,2,god
oeve,273105_001568,1703,24/24,30,5,2,god
oeve,273105_001572,1699,24/24,34,5,2,god
oeve,273106_001695,1756,24/24,22,4,2,god
oeve,273108_001538,1836,24/24,5,2,2,god
oeve,273108_001553,1709,24/24,15,3,2,god
oeve,273111_001380,1869,9/24,23,16,2,god
ekstra_uden_facit,273035_001018,1914,24/24,48,5,2,god
ekstra_uden_facit,273097_000899,1846,24/24,22,5,2,god
proeve_LAAST,273100_001283,1750,24/24,20,5,2,god
proeve_LAAST,273104_001649,1665,24/24,10,3,2,god
proeve_LAAST,273111_001368,1628,24/24,7,2,2,god
