sbid;name;year;month;date_from;date_to;digital_version_url
273123;1898, August;1898;August;1898-08-01;1898-08-31;https://kbharkiv.dk/permalink/kildeviser/unit/273123
273124;1898, September;1898;September;1898-09-01;1898-09-30;https://kbharkiv.dk/permalink/kildeviser/unit/273124
273125;1898, Oktober;1898;Oktober;1898-10-01;1898-10-31;https://kbharkiv.dk/permalink/kildeviser/unit/273125
273126;1898, November;1898;November;1898-11-01;1898-11-30;https://kbharkiv.dk/permalink/kildeviser/unit/273126
273127;1898, December;1898;December;1898-12-01;1898-12-31;https://kbharkiv.dk/permalink/kildeviser/unit/273127
273128;1899, Februar;1899;Februar;1899-02-01;1899-02-28;https://kbharkiv.dk/permalink/kildeviser/unit/273128
273129;1899, Marts;1899;Marts;1899-03-01;1899-03-31;https://kbharkiv.dk/permalink/kildeviser/unit/273129
273130;1899, April;1899;April;1899-04-01;1899-04-30;https://kbharkiv.dk/permalink/kildeviser/unit/273130
273131;1899, Maj;1899;Maj;1899-05-01;1899-05-31;https://kbharkiv.dk/permalink/kildeviser/unit/273131
273132;1899, Juni;1899;Juni;1899-06-01;1899-06-30;https://kbharkiv.dk/permalink/kildeviser/unit/273132
273133;1899, Juli;1899;Juli;1899-07-01;1899-07-31;https://kbharkiv.dk/permalink/kildeviser/unit/273133
273134;1899, August;1899;August;1899-08-01;1899-08-31;https://kbharkiv.dk/permalink/kildeviser/unit/273134
273135;1899, September;1899;September;1899-09-01;1899-09-30;https://kbharkiv.dk/permalink/kildeviser/unit/273135
273136;1899, Oktober;1899;Oktober;1899-10-01;1899-10-31;https://kbharkiv.dk/permalink/kildeviser/unit/273136
273137;1899, November;1899;November;1899-11-01;1899-11-30;https://kbharkiv.dk/permalink/kildeviser/unit/273137
273138;1899, December;1899;December;1899-12-01;1899-12-31;https://kbharkiv.dk/permalink/kildeviser/unit/273138
273139;1900, Januar bd. 2;1900;Januar bd. 2;1900-01-01;1900-01-31;https://kbharkiv.dk/permalink/kildeviser/unit/273139
273140;1900, Februar bd. 1;1900;Februar bd. 1;1900-02-01;1900-02-28;https://kbharkiv.dk/permalink/kildeviser/unit/273140
273141;1900, Februar bd. 2;1900;Februar bd. 2;1900-02-01;1900-02-28;https://kbharkiv.dk/permalink/kildeviser/unit/273141
273142;1900, Marts bd. 1;1900;Marts bd. 1;1900-03-01;1900-03-31;https://kbharkiv.dk/permalink/kildeviser/unit/273142
273143;1900, Marts bd. 2;1900;Marts bd. 2;1900-03-01;1900-03-31;https://kbharkiv.dk/permalink/kildeviser/unit/273143
273144;1900, April bd. 1;1900;April bd. 1;1900-04-01;1900-04-30;https://kbharkiv.dk/permalink/kildeviser/unit/273144
273145;1900, April bd. 2;1900;April bd. 2;1900-04-01;1900-04-30;https://kbharkiv.dk/permalink/kildeviser/unit/273145
273146;1900, Maj bd. 1;1900;Maj bd. 1;1900-05-01;1900-05-31;https://kbharkiv.dk/permalink/kildeviser/unit/273146
273147;1900, Maj bd. 2;1900;Maj bd. 2;1900-05-01;1900-05-31;https://kbharkiv.dk/permalink/kildeviser/unit/273147
273148;1900, Juni;1900;Juni;1900-06-01;1900-06-30;https://kbharkiv.dk/permalink/kildeviser/unit/273148
273149;1900, Juli bd. 1;1900;Juli bd. 1;1900-07-01;1900-07-31;https://kbharkiv.dk/permalink/kildeviser/unit/273149
273150;1900, Juli bd. 2;1900;Juli bd. 2;1900-07-01;1900-07-31;https://kbharkiv.dk/permalink/kildeviser/unit/273150
273151;1900, August;1900;August;1900-08-01;1900-08-31;https://kbharkiv.dk/permalink/kildeviser/unit/273151
273152;1900, September;1900;September;1900-09-01;1900-09-30;https://kbharkiv.dk/permalink/kildeviser/unit/273152
273153;1900, Oktober;1900;Oktober;1900-10-01;1900-10-31;https://kbharkiv.dk/permalink/kildeviser/unit/273153
273154;1900, November;1900;November;1900-11-01;1900-11-30;https://kbharkiv.dk/permalink/kildeviser/unit/273154
273155;1900, December;1900;December;1900-12-01;1900-12-31;https://kbharkiv.dk/permalink/kildeviser/unit/273155
273156;1901, Februar;1901;Februar;1901-02-01;1901-02-28;https://kbharkiv.dk/permalink/kildeviser/unit/273156
273157;1901, Marts;1901;Marts;1901-03-01;1901-03-31;https://kbharkiv.dk/permalink/kildeviser/unit/273157
273158;1901, April;1901;April;1901-04-01;1901-04-30;https://kbharkiv.dk/permalink/kildeviser/unit/273158
273159;1901, Maj;1901;Maj;1901-05-01;1901-05-31;https://kbharkiv.dk/permalink/kildeviser/unit/273159
273160;1901, Juni;1901;Juni;1901-06-01;1901-06-30;https://kbharkiv.dk/permalink/kildeviser/unit/273160
273161;1901, Juli;1901;Juli;1901-07-01;1901-07-31;https://kbharkiv.dk/permalink/kildeviser/unit/273161
273162;1901, August;1901;August;1901-08-01;1901-08-31;https://kbharkiv.dk/permalink/kildeviser/unit/273162
273163;1901, September;1901;September;1901-09-01;1901-09-30;https://kbharkiv.dk/permalink/kildeviser/unit/273163
273164;1901, Oktober;1901;Oktober;1901-10-01;1901-10-31;https://kbharkiv.dk/permalink/kildeviser/unit/273164
273165;1901, November;1901;November;1901-11-01;1901-11-30;https://kbharkiv.dk/permalink/kildeviser/unit/273165
273166;1901, December;1901;December;1901-12-01;1901-12-31;https://kbharkiv.dk/permalink/kildeviser/unit/273166
273167;1902, Februar;1902;Februar;1902-02-01;1902-02-28;https://kbharkiv.dk/permalink/kildeviser/unit/273167
273168;1902, Marts;1902;Marts;1902-03-01;1902-03-31;https://kbharkiv.dk/permalink/kildeviser/unit/273168
273169;1902, April;1902;April;1902-04-01;1902-04-30;https://kbharkiv.dk/permalink/kildeviser/unit/273169
273170;1902, Maj;1902;Maj;1902-05-01;1902-05-31;https://kbharkiv.dk/permalink/kildeviser/unit/273170
273171;1902, Juni;1902;Juni;1902-06-01;1902-06-30;https://kbharkiv.dk/permalink/kildeviser/unit/273171
273172;1902, Juli;1902;Juli;1902-07-01;1902-07-31;https://kbharkiv.dk/permalink/kildeviser/unit/273172
273173;1902, August;1902;August;1902-08-01;1902-08-31;https://kbharkiv.dk/permalink/kildeviser/unit/273173
273174;1902, September;1902;September;1902-09-01;1902-09-30;https://kbharkiv.dk/permalink/kildeviser/unit/273174
273175;1902, Oktober;1902;Oktober;1902-10-01;1902-10-31;https://kbharkiv.dk/permalink/kildeviser/unit/273175
273176;1902, November;1902;November;1902-11-01;1902-11-30;https://kbharkiv.dk/permalink/kildeviser/unit/273176
273177;1902, December;1902;December;1902-12-01;1902-12-31;https://kbharkiv.dk/permalink/kildeviser/unit/273177
273178;1903, Februar;1903;Februar;1903-02-01;1903-02-28;https://kbharkiv.dk/permalink/kildeviser/unit/273178
273179;1903, Marts;1903;Marts;1903-03-01;1903-03-31;https://kbharkiv.dk/permalink/kildeviser/unit/273179
273180;1903, April;1903;April;1903-04-01;1903-04-30;https://kbharkiv.dk/permalink/kildeviser/unit/273180
273181;1903, Maj;1903;Maj;1903-05-01;1903-05-31;https://kbharkiv.dk/permalink/kildeviser/unit/273181
273182;1903, Juni;1903;Juni;1903-06-01;1903-06-30;https://kbharkiv.dk/permalink/kildeviser/unit/273182
273183;1903, Juli;1903;Juli;1903-07-01;1903-07-31;https://kbharkiv.dk/permalink/kildeviser/unit/273183
273184;1903, August;1903;August;1903-08-01;1903-08-31;https://kbharkiv.dk/permalink/kildeviser/unit/273184
273185;1903, September;1903;September;1903-09-01;1903-09-30;https://kbharkiv.dk/permalink/kildeviser/unit/273185
273186;1903, Oktober;1903;Oktober;1903-10-01;1903-10-31;https://kbharkiv.dk/permalink/kildeviser/unit/273186
273187;1903, November;1903;November;1903-11-01;1903-11-30;https://kbharkiv.dk/permalink/kildeviser/unit/273187
273188;1903, December;1903;December;1903-12-01;1903-12-31;https://kbharkiv.dk/permalink/kildeviser/unit/273188
273189;1904, Februar;1904;Februar;1904-02-01;1904-02-29;https://kbharkiv.dk/permalink/kildeviser/unit/273189
273190;1904, Marts;1904;Marts;1904-03-01;1904-03-31;https://kbharkiv.dk/permalink/kildeviser/unit/273190
273191;1904, April;1904;April;1904-04-01;1904-04-30;https://kbharkiv.dk/permalink/kildeviser/unit/273191
273192;1904, Maj;1904;Maj;1904-05-01;1904-05-31;https://kbharkiv.dk/permalink/kildeviser/unit/273192
273193;1904, Juni;1904;Juni;1904-06-01;1904-06-30;https://kbharkiv.dk/permalink/kildeviser/unit/273193
273194;1904, Juli;1904;Juli;1904-07-01;1904-07-31;https://kbharkiv.dk/permalink/kildeviser/unit/273194
273195;1904, August;1904;August;1904-08-01;1904-08-31;https://kbharkiv.dk/permalink/kildeviser/unit/273195
273196;1904, September;1904;September;1904-09-01;1904-09-30;https://kbharkiv.dk/permalink/kildeviser/unit/273196
273197;1904, Oktober;1904;Oktober;1904-10-01;1904-10-31;https://kbharkiv.dk/permalink/kildeviser/unit/273197
273198;1904, November;1904;November;1904-11-01;1904-11-30;https://kbharkiv.dk/permalink/kildeviser/unit/273198
273199;1904, December;1904;December;1904-12-01;1904-12-31;https://kbharkiv.dk/permalink/kildeviser/unit/273199
273200;1905, Februar;1905;Februar;1905-02-01;1905-02-28;https://kbharkiv.dk/permalink/kildeviser/unit/273200
273201;1905, Marts;1905;Marts;1905-03-01;1905-03-31;https://kbharkiv.dk/permalink/kildeviser/unit/273201
273202;1905, April;1905;April;1905-04-01;1905-04-30;https://kbharkiv.dk/permalink/kildeviser/unit/273202
